edad_meses,hito,dominio,fuente
2,Calma cuando se le habla o alza,Social/Emocional,CDC
2,Mira su cara,Social/Emocional,CDC
2,Hace sonidos además del llanto,Lenguaje/Comunicación,CDC
2,Mantiene la cabeza erguida cuando está boca abajo,Movimiento/Físico,CDC
4,Sonríe espontáneamente,Social/Emocional,CDC
4,Balbucea,Lenguaje/Comunicación,CDC
4,Mantiene la cabeza firme sin apoyo,Movimiento/Físico,CDC
4,Lleva las manos a la boca,Movimiento/Físico,CDC
6,Conoce caras familiares,Social/Emocional,CDC
6,Responde a sonidos haciendo sonidos,Lenguaje/Comunicación,CDC
6,Se sienta sin apoyo,Movimiento/Físico,CDC
6,Se lleva objetos a la boca,Cognitivo,CDC
9,Muestra ansiedad ante extraños,Social/Emocional,CDC
9,"Dice ""mamá"" y ""papá""",Lenguaje/Comunicación,CDC
9,Se pone de pie sosteniéndose,Movimiento/Físico,CDC
9,Busca objetos caídos,Cognitivo,CDC
12,Imita durante el juego,Social/Emocional,CDC
12,Dice primera palabra,Lenguaje/Comunicación,CDC
12,Da pasos independientes,Movimiento/Físico,CDC
12,Explora de diferentes maneras,Cognitivo,CDC
18,Juega juegos simples de simulación,Social/Emocional,CDC
18,Dice varias palabras sueltas,Lenguaje/Comunicación,CDC
18,Camina solo,Movimiento/Físico,CDC
18,Sabe para qué sirven objetos comunes,Cognitivo,CDC
24,Se emociona cuando está con otros niños,Social/Emocional,CDC
24,Dice oraciones de 2-4 palabras,Lenguaje/Comunicación,CDC
24,Patea una pelota,Movimiento/Físico,CDC
24,Encuentra objetos aunque estén ocultos,Cognitivo,CDC
